Platform,North America,Europe,Japan,Rest of World,Global
PlayStation 2 (PS2),53.65,55.28,23.18,25.57,157.68
Nintendo DS (DS),57.39,52.07,33.01,12.43,154.90
Game Boy (GB),43.18,40.05,32.47,2.99,118.69
PlayStation (PS),38.94,36.91,19.36,9.04,104.25
Wii (Wii),45.51,33.88,12.77,9.48,101.64
PlayStation 3 (PS3),29.42,34.55,10.47,12.46,86.90
Xbox 360 (X360),49.11,25.87,1.66,9.16,85.80
Game Boy Advance (GBA),40.39,21.31,16.96,2.85,81.51
PlayStation Portable (PSP),21.41,24.14,20.01,15.26,80.82
PlayStation 4 (PS4),26.47,31.42,6.63,13.98,78.50
Nintendo 3DS (3DS),23.54,20.32,24.07,4.16,72.09
Nintendo Entertainment System (NES),33.49,8.30,19.35,0.77,61.91
Super Nintendo Entertainment System (SNES),22.88,8.15,17.17,0.90,49.10
Xbox One (XOne),23.21,9.94,0.09,4.17,37.41
Nintendo 64 (N64),20.11,6.35,5.54,0.93,32.93
Sega Genesis (GEN),16.98,8.39,3.58,0.59,29.54
Atari 2600 (2600),23.54,3.35,0.00,0.75,27.64
Xbox (XB),15.77,7.17,0.53,1.18,24.65
GameCube (GC),12.55,4.44,4.04,0.71,21.74
Nintendo Switch (NS),6.52,4.47,4.16,1.74,16.89
PlayStation Vita (PSV),2.55,5.24,5.79,2.41,15.99
Wii U (WiiU),6.23,3.54,3.33,0.87,13.97
GameGear (GG),5.40,3.23,1.78,0.21,10.62
Sega Saturn (SAT),1.83,1.12,5.80,0.07,8.82
Dreamcast (DC),3.90,1.91,2.25,0.14,8.20
Atari 7800 (7800),4.30,0.00,0.00,0.00,4.30
WonderSwan (WS),0.00,0.00,1.12,0.00,1.12
iOS (iOS),0.00,0.00,0.00,0.00,0.00
3DO Interactive Multiplayer (3DO),0.00,0.00,0.00,0.00,0.00
PC-FX (PCFX),0.00,0.00,0.00,0.00,0.00
Sega CD (SCD),0.00,0.00,0.00,0.00,0.00
Microsoft Windows (PC),0.00,0.00,0.00,0.00,0.00
TurboGrafx-16 (TG16),0.00,0.00,0.00,0.00,0.00
Neo Geo (NG),0.00,0.00,0.00,0.00,0.00
